"标题","作者","机构","年份","期刊","摘要","关键词","参考文献","DOI"
"SiC-dominated ultra-reduced mineral assemblage in carbonatitic xenoliths from the Dalihu basalt, Inner Mongolia, China","He, DT; Liu, YS; Gao, CG; Chen, CF; Hu, ZC; Gao, S","","","","SiC and associated ultra-reduced minerals were reported in various geological settings, however, their genesis and preservation mechanism are poorly understood. Here, we reported a SiC-dominated ultra-reduced mineral assemblage, including SiC, TiC, native metals (Si, Fe, and Ni) and iron silicide, from carbonatitic xenoliths in Dalihu, Inner Mongolia. All minerals were identified in situ in polished/thin sections. SiC is 20-50 mu m in size, blue to colorless in color, and usually identified in the micro-cavities within the carbonatitic xenolith. Four types of SiC polytypes were identified, which are dominated by beta-SiC (3C polytype) and 4H polytype followed by 15R and 6H. These SiC are featured by C-13-depleted isotopic compositions (delta C-13 = 13.2 to -22.8 parts per thousand, average =-17.7 parts per thousand) with obvious spatial variation. We provided a numerical modeling method to prove that the C isotopic composition of the Dalihu SiC can be well-yielded by degassing. Our modeling results showed that degassing reaction between graphite and silicate can readily produce the low delta C-13 value of SiC, and the spatial variations in C isotopic composition could have been formed in the progressive growth process of SiC. The detailed in situ occurring information is beneficial for our understanding of the preservation mechanism of the Dalihu ultra-reduced phase. The predominant occurrence of SiC in micro-cavities implies that exsolution and filling of CO2 and/or CO in the micro-cavities during the diapir rising process of carbonatitic melt could have buffered the reducing environment and separated SiC from the surrounding oxidizing phases. The fast cooling of host rock, which would leave insufficient time for the complete elimination of SiC, could have also contributed to the preservation of SiC.","Carbonatitic xenolith; silicon carbide; iron silicide; native metal; C isotopic composition","",""
"Influence of preparation parameters on the properties of SiC abrasive stones and their applications","Hanna, SB; Ajiba, NA; Mansour, TS","","","","The preparation of highly efficient and low cost abrasive stones has gained considerable interest in the last few years from the industrial and academic research societies. Meanwhile, composition of such abrasive stones material has played a significant role on its physicochemical, mechanical properties and cost. In this work, series of magnesium oxychloride cement samples were prepared by adding MgCl2 solutions to magnesia, where H2O/MgCl2 was 13:1, 15:1, and 17:1, while MgO/ MgCl2 molar ratio was fixed at 7:1 for all samples. During mixing, two grades of SiC were added separately in proportions of 20, 25, and 30 mass percentage. A comprehensive characterization including bulk density, compressive strength, abrasion resistance, and polishing performance were carried out to the prepared composites samples. This was followed by studying their mineral composition and the possible use in grinding and polishing processes of marble slabs. Interestingly, the obtained characterization results demonstrated that among the different prepared composite materials, 25 mass percent SiC-containing samples showed the best physicochemical and mechanical properties. Notably, the degree of fineness of SiC has affected the overall properties of SiC composite. When very fine SiC type was used and the water content was reduced, consequently, the samples bulk density and abrasion resistance increased. Phase 5 (5Mg(OH)2.MgCl2.8H2O) and silicon carbide, as the main phases with a minor amount of magnesia, were detected in the samples. From the economic point of view, the obtained result in our study is promising for its high performance-low cost for grinding and polishing of marble slabs in the industrial fabrication.","abrasion resistance; abrasive stones; cement; grinding stones; magnesium oxychloride; marble polishing; silicon carbide","",""
"A neutron beam monitor based on silicon carbide semiconductor coated with 6LiF converter","Jiang, Y; Wu, J; Li, Z; Fan, XQ; Lei, JR","","","","A neutron beam monitor was developed for the time-of-flight neutron reflectometer (NR) instrument at the China Mianyang Research Reactor (CMRR). The SiC neutron monitor employs a wide-bandgap silicon carbide (SiC) semiconductor detector coated with a (LiF)-Li-6 neutron converter film evaporated on a thin ceramic sheet. Given the relatively large active area [(10 x 10) mm(2)] and sufficiently thick epitaxial layer (30 mu m), the monitor can discriminate the gamma background from the signals. Prior to assembling the monitor, the I-V characteristics and alpha responses of the SiC detector were measured. Next, the SiC detector and (LiF)-Li-6 neutron converter were installed in a small aluminum shielding box, and the neutron and gamma responses were measured with an Am-Li neutron source and a Cs-137 plus Co-60 gamma source, respectively. The fabricated SiC neutron monitor was mounted inside the slit of the NR instrument (after the focusing neutron guide), and the intensity of the transmitted neutron beam was measured. To measure the incident neutron flux, the distinct triton peaks from the Li-6 (n, alpha) T reaction were counted as normalized data for the NR instrument. This paper describes the fabrication details of the SiC neutron monitor, and discusses the preliminary measurements.","Neutron beam monitor; SiC detector; Detection efficiency; (LiF)-Li-6 converter; Thermal neutron","",""
"Mechanism of size effects of a filler on the wear behavior of ultrahigh molecular weight polyethylene","Zhang, H; Zhao, SC; Xin, Z; Ye, CL; Li, Z; Xia, JC; Li, JR","","","","Although the size effects of a filler are closely related to the complex multi-level structures of their polymer composites; unfortunately, such relationships remain poorly understood. In this study, we investigated the effects of various sizes (40-600 nm) of silicon carbide (SiC) fillers on the wear behavior of ultrahigh molecular weight polyethylene (UHMWPE) in the presence of the silane coupling agent KH-560. All of these SiC fillets improved the wear resistance of UHMWPE significantly, with a medium size (150 nm) being optimal. To examine the reasons for this behavior, we analyzed the multi-level structures of the samples in terms of their matrix structures (crystalline; amorphous; interphase), matrix-filler interactions (physical adsorption; chemical crosslinking; hybrid network) and the external effects of SiC fillers (bearing loads; transferring frictional heat). The high rigidity and thermal conductivity of SiC fillers and, more importantly, the intrinsic characteristics of the matrix structures (larger crystal grains; higher interphase; stronger amorphous entangled networks) were the key parameters affecting the enhancement in the wear-resistance of the UHMWPE. Herein, we also provide interpretations of the corresponding physical effects. Our results should improve our understanding of the structure-property relationships and, thus, should guide the formula design of UHMWPE composites. (C) 2020 The Chemical Industry and Engineering Sodety of China, and Chemical Industry Press Co., Ltd. All rights reserved.","Ultrahigh molecular weight polyethylene; Wear behavior; Structure-property relationships; Particle size; Silicon carbide; Polymer-filler interactions","",""
"Microwave absorption properties of Ni/C@SiC composites prepared by precursor impregnation and pyrolysis processes","Ye, XL; Zhang, JX; Chen, ZF; Xiang, JF; Jiang, Y; Xie, FQ; Ma, XM","","","","In the present study, the unique three-dimensional graphene coated nickel (Ni/C) foam reinforced silicon carbide (Ni/C@SiC) composites were first obtained via the precursor impregnation and pyrolysis (PIP) processes. The microstructure images indicated that the SiC fillers were successfully prepared in the skeleton pores of the Ni/C foam. The influence of the PIP cycles on the microwave absorption perfor-mances was researched, and the results indicated that after the primary PIP process, Ni/C@SiC-I possessed the optimal microwave absorbing performance with a minimum reflection loss(RL) of -25.87 dB at 5.28 GHz and 5.00 mm. Besides, the RL values could be below -10.00 dB from 5.88 GHz to 7.74 GHz when the corresponding matching thickness was 3.85 mm. However, the microwave ab-sorption properties of Ni/C@SiC-II and Ni/C@SiC-III were tremendously degraded as the PIP times increased. At last, the electromagnetic parameter, dielectric loss, attenuation constant as well as impedance matching coefficient were further investigated to analyze the absorbing mechanism, which opened a new path for the certain scientific evaluation of the absorbing materials and had extremely important to the defence technology.(c) 2021 China Ordnance Society. Publishing services by Elsevier B.V. on behalf of KeAi Communications Co. Ltd. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/ licenses/by-nc-nd/4.0/).","Silicon carbide composites; Precursor impregnation and pyrolysis; Microwave absorbing performance; Electromagnetic parameter; Absorbing mechanism","",""
"Progress in Polycrystalline SiC Growth by Low Pressure Chemical Vapor Deposition and Material Characterization","Gavalas, M; Gallou, Y; Chaussende, D; Blanquet, E; Mercier, F; Zekentes, K","","","","The purpose of this paper is to give a review on the state of the art of polycrystalline SiC material grown by low-pressure chemical vapor deposition (LPCVD). Nowadays, LPCVD is the main technique used for the deposition of polycrystalline SiC, both in academic research and industry. Indeed, the LPCVD technique is today the most mature technique to grow high purity polycrystalline thin films with controlled thickness and structure over a large area (>50 cm) and/or 3D substrate. Its ability to have a high degree of modification on the growth conditions and the chosen precursor system allows the deposition of polycrystalline SiC films in various substrates with tailored properties according to the desired application. After a short introduction on the SiC material and its growth by the LPCVD technique, a review of theoretical studies (thermodynamics and kinetics) related to the CVD SiC growth process is given. A synthesis of the experimental studies is made focusing on the effect of the growth conditions on the properties of the deposited SiC polycrystalline material. Despite the numerous results, a full understanding of them is limited due to the complexity of the LPCVD process and the polycrystalline SiC structure. The conclusions show that the growth conditions, like temperature, chamber pressure, (C/Si)((g)), (Cl/Si)((g)), and doping have an impact on the microstructure and on the corresponding properties of the polycrystalline SiC films. Future perspectives are given in order to improve our understanding on the polycrystalline-SiC-LPCVD process and to enable the growth of tailor-made polycrystalline SiC films for future applications.","LPCVD; polycrystalline material; thin films; SiC; material characterization","",""
"Investigation of flexural behavior and microstructure of Amosic-3 silicon carbide composites under neutron irradiation","Liu, CX; Chen, B; Li, XQ; Zheng, J; Zhou, W; Cheng, LF; Zhang, LT","","","","SiC/SiC composites prepared by the chemical vapor infiltration process have been investigated under neutron irradiation at approximately 40 degrees C to doses of 0.03 and 0.2 displacements per atom (dpa) in the China Mianyang Research Reactor. Irradiation effects were characterized by three-point flexural tests, micro-Raman spectra and transmission electron microscopy observations. The results demonstrated that the ultimate flexural stress and flexural modulus decreased remarkably with irradiation doses up to 0.2 dpa. Micro-Raman spectra of the Amosic3 fiber and SiC matrix revealed that both reduction of Si-C bonds and enhancement of Si-Si bonds were increased from 0.03 to 0.2 dpa. Microstructural observation revealed that the Amosic-3 fiber suffered from grain fragmentation and amorphization. Meanwhile, matrix amorphization is generated preferentially at the site of stacking fault structures. In addition, it suggested that in the current work, up to 0.2 dpa, full amorphization was not completed in the Amosic-3 fiber, PyC and SiC matrix.","SiC/SiC composites; Neutron irradiation; Flexural behavior; Micro-Raman spectroscopy; Microstructure","",""
"Optical properties of titanium and iron doped 3C-SiC behaviors TB-mBJ","Houmad, M; Zaari, H; Benyoussef, A; El Kenz, A","","","","Using the formalism of the full potential linearized augmented plane wave (FP-LAPW) method with the Tran and Blaha modified Becke-Johnson potential (TB-mBJ), we investigated the electronic structure and optical properties of titanium and iron doped silicon carbide (3C-Si1-x TixC and 3C-Si1-x FexC, x = 0.0625 and 0.125). We found that the direct band gap of 3C-Si1-x Ti-x C and 3C-Si1-x Fe-x C increased with Ti and decreased with Fe. For the second study, we compared the optical properties for Ti doped 3C-SiC and Fe doped 3C-SiC. The optical conductivity of iron doped 3C-SiC is higher than Ti doped 3C-SiC. According to these results, the compound 3C-Si1-x Fe-x C could be used to solar cell application. We suggest that Fe doped 3C-SiC could be used for solar cell application. (C) 2016 The Physical Society of the Republic of China (Taiwan). Published by Elsevier B.V. All rights reserved.","semiconductors; ab initio calculations; electronic structure; optical properties","",""
"High-precision CSNS beam monitor system conceptual design based on SiC","He, Y; Li, XC; Xu, ZJ; Qi, M; Wang, CC; Wang, CW; Lu, H; Nie, XJ; Fan, RR; Jing, HT; Song, WM; Wang, KQ; Liu, K; Liu, PL; Li, H; Li, ZY; Fu, CX; Zhang, XY; Kang, XS; Li, Z; Lu, WG; Xiao, SY; Shi, X","","","","PurposeA high-precision beam monitor system based on silicon carbide PIN sensor is designed for the 1.6 GeV proton beam of China Spallation Neutron Source. The conceptual design of the beam monitor system is composed of front-end electronics with SiC PIN sensor and readout system.MethodThe charge collection efficiency of the SiC PIN sensor after proton radiation is studied with 80 MeV proton beam. 98% charge will be collected by the SiC PIN sensor after the system running one year, which can meet requirements of beam monitoring. Research on the performance of the front-end electronics and readout system is completed for better data acquisition. The front-end electronics is studied to figure out the effect of feedback resistor. The readout system can deal with signal with sampling rate of 5 GHz, and the data acquisition rate is 1 Hz.ResultsThe uncertainty of proton beam fluence is below 0.68%\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\%$$\end{document} in the beam monitor system.ConclusionThe results reveal that the beam monitor system can be used for the 1.6 GeV proton beam of China Spallation Neutron Source.","Beam monitor system; SiC PIN; Proton radiation","",""
"Equivalent protection factor of bi-layer ceramic metal structures","Gour, G; Idapalapati, S; Goh, WL; Shi, XP","","","","With increasing ballistic threat levels, there is ever more demand on developing ceramic armor designs with improved performance. This paper presents finite element simulations that investigate the performance of silicon carbide ceramic with steel 4340 backing material and titanium alloy, graphite as buffer layers when subjected to normal and oblique impacts by a tungsten alloy long rod projectile (LRP). Depth of penetration from experimental measurements is compared with simulations to confirm the validity of constitutive, failure model parameters. Titanium alloy cover plate and graphite interface weak layer laterally spread the impact shock away from the SiC tile and reduces the amplification of the stress accumulation at the front surface of the SiC tile. The dwelling time increases before it penetrates into ceramic armor. Further, using AUTODYN (R) numerical simulations detailed parametric study is carried out to identify the minimum areal density armor for a given ballistic limit velocity. The equivalent protection factor for the bi-layer armor is a simple function of the cosine of the angle of impact. (C) 2021 China Ordnance Society. Publishing services by Elsevier B.V. on behalf of KeAi Communications Co. Ltd.","Ceramic armor; Normal and NATO 60 degrees impact; Ballistic limit velocity; Equivalent protection factor (EPF)","",""
"Multi objective prediction and optimization of control parameters in the milling of aluminium hybrid metal matrix composites using ANN and Taguchi -grey relational analysis","Daniel, SAA; Pugazhenthi, R; Kumar, R; Vijayananth, S","","","","This study aims to optimize the input parameters such as mass fraction and particle size of SiC along with depth of cut, feed and cutting speed in the milling of Al5059/SiC/MoS2. The hybrid metal matrix composites are generally fabricated by reinforcing of different sizes (10, 20, 40 mu m) of SiC with aluminium at a different levels (5%, 10% & 15%) whereas the MoS2 addition is fixed as 2%. The effect of each control factor on response variables are analyzed through Taguchi S/N ratio method. Also, the most significant method for prediction of response parameters is satisfied by ANN model than the regression model. Analysis of variance (ANOVA) results envisage that mass fraction of SiC, feed rate is the most domineering factor on response variable. (C) 2019 The Authors. Production and hosting by Elsevier B.V. on behalf of China Ordnance Society.","Silicon carbide; Temperature; Surface roughness; Cutting forces; Artificial neural network; Grey relational analysis","",""
"Research progress of SiC fiber-bonded ceramics","Xu, ZM; Yu, YP; Wang, S; Li, W","","","","SiC fiber-bonded ceramics (FBCs), as a new thermal-structural material obtained by hot-pressing sintering of SiC fiber, has low porosity, high fiber volume fraction, high temperature resistance, oxidation resistance and high strength. It is an excellent candidate material for high temperature components such as turbine blades and rotors of aero-engine. The research progresses of FBCs were systematically reviewed in this paper. The structural characteristics and preparation methods of two types of FBCs (Tyranohex and SA Tyranohex) were introduced, the relationships among the composition, structure and performance of FBCs were discussed. It was noted that the interface carbon layer plays a crucial role in the performance of FBCs. The mechanical properties of SA-Tyranohex at room temperature and high temperature were highlighted, and the reasons for its excellent high temperature performance were analysed. The examination, verification and application development were summarized. The difficulties of FBCs in forming complex components were pointed out, and the future development trends and research directions were prospected. Finally, it was proposed that conducting research on SiC fiber-bonded ceramics is of great significance for the development of new materials for high-temperature resistant components in China","silicon carbide fiber; SiC fiber-bonded ceramics; hot pressing (HP); mechanical property; application progress","",""
"Experimental Study and Numerical Analysis on Pressure Drop and Temperature Field Characteristics of Asymmetric Cell Technology Diesel Particulate Filter for Silicon Carbide","Lu, Y; Lu, SK; Chen, GS; Li, Q; Chen, CL; Xu, YS; Li, Y","","","","Due to its high filtration efficiency, wall-flow diesel particulate filter (DPF) has become the mainstream purification device for particulate matters (PM) of diesel engine all over the world. China VI emission regulations further tightens PM emissions, which puts out higher demands on all aspects of DPF performance. In the paper, experimental and numerical study were conducted on a common-rail diesel engine for the pressure drop and temperature field characteristics of asymmetric cell technology (ACT) diesel particulate filter for silicon carbide (SiC-DPF) with high cell density and thin wall. The results show that the application advantage of ACT DPF is significant under the conditions of higher soot loading and higher engine speed while SCT DPF is more suitable for the conditions of lower soot loading (less than 4 g/L). When ash loading exceeds 30 g/L, the pressure drop of ACT DPF is remarkably lower than that of symmetric cell technology (SCT) DPF. Compared with SCT DPF, the gas flow velocity is faster at the channel outlet and the particulate concentration deposited along the axial direction is more homogeneous for ACT DPF. Therefore, pressure drop is reduced efficiently with the increasing soot loading. Moreover, the regeneration temperatures inside the ACT DPF are uniform and stable, and the peak temperature does not exceed 750 degrees C during active regeneration with the soot loading of 8 g/L, thus regeneration is safe.","Diesel engine; diesel particulate filter; asymmetric cell technology; pressure drop; regeneration characteristics; silicon carbide","",""
